Account No,DATE,TRANSACTION DETAILS,VALUE DATE,BALANCE AMT,AMOUNT,TYPE,CATEGORY
KZ57163314100,2024-02-11,ALMATY ENERGO ELECTRIC,2024-02-11,-98410.0,-6531.61,DEBIT,Utilities
KZ57163314100,2024-02-11,CHOCOFOOD ORDER,2024-02-11,-257104.32,-3105.16,DEBIT,Food & Dining
KZ57163314100,2024-02-12,SMALL SUPERMARKET,2024-02-12,-184175.0,-4473.9,DEBIT,Shopping
KZ57163314100,2024-02-14,TECHNODOM KZ,2024-02-14,-245723.56,-19522.16,DEBIT,Shopping
KZ57163314100,2024-02-16,CHOCOFOOD ORDER,2024-02-16,-141389.32,-7395.47,DEBIT,Food & Dining
KZ57163314100,2024-02-16,INDRIVE TRIP,2024-02-16,-258934.23,-1829.91,DEBIT,Transport
KZ57163314100,2024-02-16,SMALL SUPERMARKET,2024-02-16,-112025.17,-11963.35,DEBIT,Shopping
KZ57163314100,2024-02-17,SMALL SUPERMARKET,2024-02-17,-163583.63,-2672.16,DEBIT,Shopping
KZ57163314100,2024-02-17,GLOVO*ORDER,2024-02-17,-170869.32,-7285.69,DEBIT,Food & Dining
KZ57163314100,2024-02-20,YOUTUBE PREMIUM,2024-02-20,-91878.39,-841.5,DEBIT,Entertainment
KZ57163314100,2024-02-22,ALMATY ENERGO ELECTRIC,2024-02-22,-88115.23,-10533.7,DEBIT,Utilities
KZ57163314100,2024-02-23,KASPI SHOP PURCHASE,2024-02-23,-160911.48,-19522.16,DEBIT,Shopping
KZ57163314100,2024-02-26,MCDONALDS ALMATY,2024-02-26,-100061.82,-1651.82,DEBIT,Food & Dining
KZ57163314100,2024-02-26,INDRIVE TRIP,2024-02-26,-260648.07,-1713.84,DEBIT,Transport
KZ57163314100,2024-02-27,INDRIVE TRIP,2024-02-27,-223397.49,-732.44,DEBIT,Transport
KZ57163314100,2024-02-27,FLY ARYSTAN,2024-02-27,-133993.85,-19522.16,DEBIT,Transport
KZ57163314100,2024-02-27,BURGER KING KZ,2024-02-27,-114471.7,-2446.52,DEBIT,Food & Dining
KZ57163314100,2024-02-28,TELE2 KZ PAYMENT,2024-02-28,-226201.4,-2803.91,DEBIT,Utilities
KZ57163314100,2024-02-28,BURGER KING KZ,2024-02-28,-175029.73,-3318.91,DEBIT,Food & Dining
KZ57163314100,2024-03-02,GLOVO*ORDER,2024-03-02,-379829.99,-13285.67,DEBIT,Food & Dining
KZ57163314100,2024-03-02,NETFLIX SUBSCRIPTION,2024-03-02,-404702.18,-4740.5,DEBIT,Entertainment
KZ57163314100,2024-03-02,MAGNUM SUPERMARKET,2024-03-02,-300017.64,-16841.75,DEBIT,Shopping
KZ57163314100,2024-03-04,SULPAK ELECTRONICS,2024-03-04,-349225.1,-18716.19,DEBIT,Shopping
KZ57163314100,2024-03-04,KINOPARK TICKET,2024-03-04,-447047.12,-2209.49,DEBIT,Entertainment
KZ57163314100,2024-03-04,KTZ RAILWAY TICKET,2024-03-04,-497388.75,-18716.19,DEBIT,Transport
KZ57163314100,2024-03-04,MCDONALDS ALMATY,2024-03-04,-500715.96,-3327.21,DEBIT,Food & Dining
KZ57163314100,2024-03-04,WILDBERRIES KZ,2024-03-04,-235018.26,-18486.65,DEBIT,Shopping
KZ57163314100,2024-03-05,AIR ASTANA TICKET,2024-03-05,-399961.68,-18716.19,DEBIT,Transport
KZ57163314100,2024-03-05,AIR ASTANA TICKET,2024-03-05,-519432.15,-18716.19,DEBIT,Transport
KZ57163314100,2024-03-05,AIR ASTANA TICKET,2024-03-05,-264459.7,-18716.19,DEBIT,Transport
KZ57163314100,2024-03-05,GLOVO*ORDER,2024-03-05,-216531.61,-10876.31,DEBIT,Food & Dining
KZ57163314100,2024-03-06,СТИПЕНДИЯ + ПОДРАБОТКА,2024-03-06,-184746.02,77984.13,CREDIT,Income
KZ57163314100,2024-03-08,LOCAL CAFE,2024-03-08,-528945.0,-1804.11,DEBIT,Food & Dining
KZ57163314100,2024-03-09,SMALL SUPERMARKET,2024-03-09,-478672.56,-2152.52,DEBIT,Shopping
KZ57163314100,2024-03-09,METRO CASH AND CARRY,2024-03-09,-571687.31,-18716.19,DEBIT,Shopping
KZ57163314100,2024-03-10,SPOTIFY PREMIUM,2024-03-10,-381245.49,-1415.5,DEBIT,Entertainment
KZ57163314100,2024-03-11,GLOVO*ORDER,2024-03-11,-205655.3,-6816.33,DEBIT,Food & Dining
KZ57163314100,2024-03-12,CHOCOFOOD ORDER,2024-03-12,-198838.98,-9352.46,DEBIT,Food & Dining
KZ57163314100,2024-03-12,KINOPARK TICKET,2024-03-12,-444837.63,-2703.07,DEBIT,Entertainment
KZ57163314100,2024-03-13,YANDEX GO RIDE,2024-03-13,-330508.91,-2818.97,DEBIT,Transport
KZ57163314100,2024-03-13,NETFLIX SUBSCRIPTION,2024-03-13,-189486.52,-4740.5,DEBIT,Entertainment
KZ57163314100,2024-03-18,KTZ RAILWAY TICKET,2024-03-18,-442134.56,-18716.19,DEBIT,Transport
KZ57163314100,2024-03-18,KTZ RAILWAY TICKET,2024-03-18,-245743.51,-10725.24,DEBIT,Transport
KZ57163314100,2024-03-18,ЖКХ КОММУНАЛКА,2024-03-18,-366544.32,-17319.21,DEBIT,Utilities
KZ57163314100,2024-03-19,WOLT DELIVERY,2024-03-19,-552971.12,-10360.86,DEBIT,Food & Dining
KZ57163314100,2024-03-21,WILDBERRIES KZ,2024-03-21,-311433.65,-8837.85,DEBIT,Shopping
KZ57163314100,2024-03-23,АЗС SINOOIL FUEL,2024-03-23,-324194.34,-10071.49,DEBIT,Transport
KZ57163314100,2024-03-24,WILDBERRIES KZ,2024-03-24,-283175.89,-18716.19,DEBIT,Shopping
KZ57163314100,2024-03-24,BURGER KING KZ,2024-03-24,-523554.49,-4122.34,DEBIT,Food & Dining
KZ57163314100,2024-03-24,MAGNUM SUPERMARKET,2024-03-24,-457803.85,-8023.4,DEBIT,Shopping
KZ57163314100,2024-03-26,KINOPARK TICKET,2024-03-26,-302595.8,-2578.16,DEBIT,Entertainment
KZ57163314100,2024-03-26,KINOPARK TICKET,2024-03-26,-449780.45,-2733.32,DEBIT,Entertainment
KZ57163314100,2024-03-26,GLOVO*ORDER,2024-03-26,-542610.25,-13665.25,DEBIT,Food & Dining
KZ57163314100,2024-03-26,SULPAK ELECTRONICS,2024-03-26,-476520.04,-18716.19,DEBIT,Shopping
KZ57163314100,2024-03-27,KINOPARK TICKET,2024-03-27,-327689.95,-3495.61,DEBIT,Entertainment
KZ57163314100,2024-03-28,INDRIVE TRIP,2024-03-28,-314122.85,-2689.21,DEBIT,Transport
KZ57163314100,2024-03-29,METRO CASH AND CARRY,2024-03-29,-423418.37,-18716.19,DEBIT,Shopping
KZ57163314100,2024-03-29,CHAPLIN CINEMA,2024-03-29,-527140.89,-3586.4,DEBIT,Entertainment
KZ57163314100,2024-03-31,WOLT DELIVERY,2024-03-31,-581402.05,-8412.5,DEBIT,Food & Dining
KZ57163314100,2024-03-31,METRO CASH AND CARRY,2024-03-31,-761061.34,-19231.5,DEBIT,Shopping
KZ57163314100,2024-03-31,AIR ASTANA TICKET,2024-03-31,-572989.55,-19231.5,DEBIT,Transport
KZ57163314100,2024-04-01,YOUTUBE PREMIUM,2024-04-01,-685765.76,-940.5,DEBIT,Entertainment
KZ57163314100,2024-04-01,SPOTIFY PREMIUM,2024-04-01,-725644.27,-1415.5,DEBIT,Entertainment
KZ57163314100,2024-04-02,WOLT DELIVERY,2024-04-02,-765967.91,-4906.57,DEBIT,Food & Dining
KZ57163314100,2024-04-03,СТИПЕНДИЯ + ПОДРАБОТКА,2024-04-03,-491556.05,80131.26,CREDIT,Income
KZ57163314100,2024-04-03,CHOCOFOOD ORDER,2024-04-03,-684825.26,-5815.95,DEBIT,Food & Dining
KZ57163314100,2024-04-04,TECHNODOM KZ,2024-04-04,-836218.07,-19231.5,DEBIT,Shopping
KZ57163314100,2024-04-05,KFC ALMATY,2024-04-05,-811182.59,-3469.31,DEBIT,Food & Dining
KZ57163314100,2024-04-06,KAZAKHTELECOM INTERNET,2024-04-06,-816986.56,-5803.98,DEBIT,Utilities
KZ57163314100,2024-04-07,LOCAL CAFE,2024-04-07,-853403.32,-2601.2,DEBIT,Food & Dining
KZ57163314100,2024-04-07,FLY ARYSTAN,2024-04-07,-724228.77,-19231.5,DEBIT,Transport
KZ57163314100,2024-04-09,YANDEX GO RIDE,2024-04-09,-584350.24,-2948.19,DEBIT,Transport
KZ57163314100,2024-04-10,FLY ARYSTAN,2024-04-10,-704997.27,-19231.5,DEBIT,Transport
KZ57163314100,2024-04-12,АЗС SINOOIL FUEL,2024-04-12,-530263.81,-16451.38,DEBIT,Transport
KZ57163314100,2024-04-12,KASPI SHOP PURCHASE,2024-04-12,-672050.12,-19231.5,DEBIT,Shopping
KZ57163314100,2024-04-13,UNUSUAL LARGE TRANSACTION,2024-04-13,-981334.17,-108699.35,DEBIT,Other
KZ57163314100,2024-04-14,KCELL PAYMENT,2024-04-14,-770494.51,-4526.6,DEBIT,Utilities
KZ57163314100,2024-04-15,GLOVO*ORDER,2024-04-15,-797940.11,-13768.28,DEBIT,Food & Dining
KZ57163314100,2024-04-16,KTZ RAILWAY TICKET,2024-04-16,-779232.16,-8737.64,DEBIT,Transport
KZ57163314100,2024-04-18,KTZ RAILWAY TICKET,2024-04-18,-741829.83,-11961.14,DEBIT,Transport
KZ57163314100,2024-04-18,LOCAL CAFE,2024-04-18,-628396.88,-3088.4,DEBIT,Food & Dining
KZ57163314100,2024-04-18,TECHNODOM KZ,2024-04-18,-603581.74,-19231.5,DEBIT,Shopping
KZ57163314100,2024-04-19,CHOCOFOOD ORDER,2024-04-19,-513812.43,-3024.88,DEBIT,Food & Dining
KZ57163314100,2024-04-20,LOCAL CAFE,2024-04-20,-807713.28,-1657.4,DEBIT,Food & Dining
KZ57163314100,2024-04-20,METRO CASH AND CARRY,2024-04-20,-647628.38,-19231.5,DEBIT,Shopping
KZ57163314100,2024-04-20,SULPAK ELECTRONICS,2024-04-20,-872634.82,-19231.5,DEBIT,Shopping
KZ57163314100,2024-04-22,METRO CASH AND CARRY,2024-04-22,-553758.05,-19231.5,DEBIT,Shopping
KZ57163314100,2024-04-22,BURGER KING KZ,2024-04-22,-652818.62,-5190.24,DEBIT,Food & Dining
KZ57163314100,2024-04-23,MCDONALDS ALMATY,2024-04-23,-784171.83,-3999.17,DEBIT,Food & Dining
KZ57163314100,2024-04-23,WOLT DELIVERY,2024-04-23,-806055.88,-8115.77,DEBIT,Food & Dining
KZ57163314100,2024-04-23,BURGER KING KZ,2024-04-23,-534526.55,-4262.74,DEBIT,Food & Dining
KZ57163314100,2024-04-23,KTZ RAILWAY TICKET,2024-04-23,-850802.12,-14584.05,DEBIT,Transport
KZ57163314100,2024-04-24,YOUTUBE PREMIUM,2024-04-24,-780172.66,-940.5,DEBIT,Entertainment
KZ57163314100,2024-04-26,MCDONALDS ALMATY,2024-04-26,-729868.69,-4224.42,DEBIT,Food & Dining
KZ57163314100,2024-04-26,AIR ASTANA TICKET,2024-04-26,-510787.55,-19231.5,DEBIT,Transport
KZ57163314100,2024-04-26,KAZAKHTELECOM INTERNET,2024-04-26,-679009.32,-6959.19,DEBIT,Utilities
KZ57163314100,2024-04-26,KASPI SHOP PURCHASE,2024-04-26,-618551.62,-14969.87,DEBIT,Shopping
KZ57163314100,2024-04-28,АЗС SINOOIL FUEL,2024-04-28,-625308.48,-6756.86,DEBIT,Transport
KZ57163314100,2024-04-30,CHOCOFOOD ORDER,2024-04-30,-1041784.74,-9646.69,DEBIT,Food & Dining
KZ57163314100,2024-04-30,BURGER KING KZ,2024-04-30,-908042.34,-4755.93,DEBIT,Food & Dining
KZ57163314100,2024-04-30,NETFLIX SUBSCRIPTION,2024-04-30,-1063772.83,-4990.0,DEBIT,Entertainment
KZ57163314100,2024-05-01,LOCAL CAFE,2024-05-01,-1119739.55,-3007.08,DEBIT,Food & Dining
KZ57163314100,2024-05-01,AIR ASTANA TICKET,2024-05-01,-1005312.08,-19124.37,DEBIT,Transport
KZ57163314100,2024-05-01,KINOPARK TICKET,2024-05-01,-947213.17,-3989.03,DEBIT,Entertainment
KZ57163314100,2024-05-02,BURGER KING KZ,2024-05-02,-915350.85,-5114.32,DEBIT,Food & Dining
KZ57163314100,2024-05-02,NETFLIX SUBSCRIPTION,2024-05-02,-984723.79,-4990.0,DEBIT,Entertainment
KZ57163314100,2024-05-02,ЖКХ КОММУНАЛКА,2024-05-02,-979733.79,-19124.37,DEBIT,Utilities
KZ57163314100,2024-05-03,АЗС SINOOIL FUEL,2024-05-03,-1054082.42,-7499.0,DEBIT,Transport
KZ57163314100,2024-05-03,INDRIVE TRIP,2024-05-03,-948725.57,-1512.4,DEBIT,Transport
KZ57163314100,2024-05-05,СТИПЕНДИЯ + ПОДРАБОТКА,2024-05-05,-901649.32,79684.85,CREDIT,Income
KZ57163314100,2024-05-07,GLOVO*ORDER,2024-05-07,-1116732.47,-14977.21,DEBIT,Food & Dining
KZ57163314100,2024-05-09,CHOCOFOOD ORDER,2024-05-09,-943224.13,-3805.63,DEBIT,Food & Dining
KZ57163314100,2024-05-09,YANDEX GO RIDE,2024-05-09,-1066931.94,-3159.1,DEBIT,Transport
KZ57163314100,2024-05-10,FLY ARYSTAN,2024-05-10,-1138649.52,-15151.55,DEBIT,Transport
KZ57163314100,2024-05-10,SMALL SUPERMARKET,2024-05-10,-1019875.97,-14563.89,DEBIT,Shopping
KZ57163314100,2024-05-10,INDRIVE TRIP,2024-05-10,-1032138.05,-2962.23,DEBIT,Transport
KZ57163314100,2024-05-11,INDRIVE TRIP,2024-05-11,-903286.41,-1637.09,DEBIT,Transport
KZ57163314100,2024-05-12,SULPAK ELECTRONICS,2024-05-12,-1086056.3,-19124.37,DEBIT,Shopping
KZ57163314100,2024-05-12,SMALL SUPERMARKET,2024-05-12,-910236.53,-2194.18,DEBIT,Shopping
KZ57163314100,2024-05-12,YOUTUBE PREMIUM,2024-05-12,-1087046.3,-990.0,DEBIT,Entertainment
KZ57163314100,2024-05-12,WOLT DELIVERY,2024-05-12,-1101755.26,-5101.03,DEBIT,Food & Dining
KZ57163314100,2024-05-14,YANDEX GO RIDE,2024-05-14,-1153897.53,-2540.02,DEBIT,Transport
KZ57163314100,2024-05-14,INDRIVE TRIP,2024-05-14,-939418.5,-1198.42,DEBIT,Transport
KZ57163314100,2024-05-15,MCDONALDS ALMATY,2024-05-15,-1056299.96,-2217.55,DEBIT,Food & Dining
KZ57163314100,2024-05-16,CHOCOFOOD ORDER,2024-05-16,-1163118.61,-9221.08,DEBIT,Food & Dining
KZ57163314100,2024-05-17,MCDONALDS ALMATY,2024-05-17,-986187.72,-1463.93,DEBIT,Food & Dining
KZ57163314100,2024-05-19,WOLT DELIVERY,2024-05-19,-1027946.42,-8070.45,DEBIT,Food & Dining
KZ57163314100,2024-05-20,SULPAK ELECTRONICS,2024-05-20,-934475.21,-19124.37,DEBIT,Shopping
KZ57163314100,2024-05-20,YANDEX GO RIDE,2024-05-20,-1175957.18,-1752.45,DEBIT,Transport
KZ57163314100,2024-05-21,KTZ RAILWAY TICKET,2024-05-21,-1151357.5,-12707.98,DEBIT,Transport
KZ57163314100,2024-05-21,BURGER KING KZ,2024-05-21,-1046583.42,-3308.68,DEBIT,Food & Dining
KZ57163314100,2024-05-22,АЗС HELIOS PETROL,2024-05-22,-1174204.73,-11086.12,DEBIT,Transport
KZ57163314100,2024-05-23,BURGER KING KZ,2024-05-23,-1123497.97,-3758.42,DEBIT,Food & Dining
KZ57163314100,2024-05-23,KCELL PAYMENT,2024-05-23,-938220.08,-3744.87,DEBIT,Utilities
KZ57163314100,2024-05-23,SPOTIFY PREMIUM,2024-05-23,-1043274.74,-1490.0,DEBIT,Entertainment
KZ57163314100,2024-05-24,АЗС SINOOIL FUEL,2024-05-24,-960609.42,-11883.85,DEBIT,Transport
KZ57163314100,2024-05-28,LOCAL CAFE,2024-05-28,-1029175.82,-1229.4,DEBIT,Food & Dining
KZ57163314100,2024-05-28,CHAPLIN CINEMA,2024-05-28,-1058782.83,-2482.87,DEBIT,Entertainment
KZ57163314100,2024-05-28,CHOCOFOOD ORDER,2024-05-28,-1096654.22,-9607.92,DEBIT,Food & Dining
KZ57163314100,2024-05-30,LOCAL CAFE,2024-05-30,-1423840.16,-3573.57,DEBIT,Food & Dining
KZ57163314100,2024-05-31,KFC ALMATY,2024-05-31,-1443449.24,-2425.07,DEBIT,Food & Dining
KZ57163314100,2024-05-31,СТИПЕНДИЯ + ПОДРАБОТКА,2024-05-31,-1096984.11,78973.06,CREDIT,Income
KZ57163314100,2024-06-01,KTZ RAILWAY TICKET,2024-06-01,-1280819.73,-18014.5,DEBIT,Transport
KZ57163314100,2024-06-01,INDRIVE TRIP,2024-06-01,-1426107.76,-2267.6,DEBIT,Transport
KZ57163314100,2024-06-02,YOUTUBE PREMIUM,2024-06-02,-1312023.92,-1039.5,DEBIT,Entertainment
KZ57163314100,2024-06-02,GLOVO*ORDER,2024-06-02,-1224898.16,-7700.53,DEBIT,Food & Dining
KZ57163314100,2024-06-02,BURGER KING KZ,2024-06-02,-1379102.46,-5617.65,DEBIT,Food & Dining
KZ57163314100,2024-06-04,WILDBERRIES KZ,2024-06-04,-1152954.26,-18953.54,DEBIT,Shopping
KZ57163314100,2024-06-04,BURGER KING KZ,2024-06-04,-1431665.0,-5557.24,DEBIT,Food & Dining
KZ57163314100,2024-06-04,BEELINE KZ RECHARGE,2024-06-04,-1134000.73,-3092.42,DEBIT,Utilities
KZ57163314100,2024-06-04,BURGER KING KZ,2024-06-04,-1130908.31,-3883.13,DEBIT,Food & Dining
KZ57163314100,2024-06-06,KCELL PAYMENT,2024-06-06,-1158161.19,-5206.92,DEBIT,Utilities
KZ57163314100,2024-06-06,BURGER KING KZ,2024-06-06,-1385133.49,-6031.03,DEBIT,Food & Dining
KZ57163314100,2024-06-07,FLY ARYSTAN,2024-06-07,-1243851.7,-18953.54,DEBIT,Transport
KZ57163314100,2024-06-07,CHAPLIN CINEMA,2024-06-07,-1353825.01,-3894.02,DEBIT,Entertainment
KZ57163314100,2024-06-08,CHOCOFOOD ORDER,2024-06-08,-1168019.26,-8293.57,DEBIT,Food & Dining
KZ57163314100,2024-06-08,LOCAL CAFE,2024-06-08,-1417633.89,-3214.34,DEBIT,Food & Dining
KZ57163314100,2024-06-09,KFC ALMATY,2024-06-09,-1310984.42,-8054.26,DEBIT,Food & Dining
KZ57163314100,2024-06-10,KFC ALMATY,2024-06-10,-1198596.99,-3663.56,DEBIT,Food & Dining
KZ57163314100,2024-06-10,STEAM GAMES,2024-06-10,-1414419.55,-18953.54,DEBIT,Entertainment
KZ57163314100,2024-06-10,SULPAK ELECTRONICS,2024-06-10,-1373484.81,-18953.54,DEBIT,Shopping
KZ57163314100,2024-06-12,YANDEX GO RIDE,2024-06-12,-1122431.35,-1254.2,DEBIT,Transport
KZ57163314100,2024-06-12,MAGNUM SUPERMARKET,2024-06-12,-1349930.99,-18953.54,DEBIT,Shopping
KZ57163314100,2024-06-12,WOLT DELIVERY,2024-06-12,-1283976.63,-3156.9,DEBIT,Food & Dining
KZ57163314100,2024-06-13,АЗС SINOOIL FUEL,2024-06-13,-1460685.07,-17235.83,DEBIT,Transport
KZ57163314100,2024-06-15,SULPAK ELECTRONICS,2024-06-15,-1262805.24,-18953.54,DEBIT,Shopping
KZ57163314100,2024-06-15,WOLT DELIVERY,2024-06-15,-1441024.17,-4040.52,DEBIT,Food & Dining
KZ57163314100,2024-06-16,TECHNODOM KZ,2024-06-16,-1330977.46,-18953.54,DEBIT,Shopping
KZ57163314100,2024-06-16,АЗС HELIOS PETROL,2024-06-16,-1217197.63,-18600.64,DEBIT,Transport
KZ57163314100,2024-06-16,STEAM GAMES,2024-06-16,-1115937.65,-18953.54,DEBIT,Entertainment
KZ57163314100,2024-06-17,LOCAL CAFE,2024-06-17,-1390696.48,-2134.84,DEBIT,Food & Dining
KZ57163314100,2024-06-17,BURGER KING KZ,2024-06-17,-1420266.59,-2632.7,DEBIT,Food & Dining
KZ57163314100,2024-06-19,GLOVO*ORDER,2024-06-19,-1175979.9,-7960.64,DEBIT,Food & Dining
KZ57163314100,2024-06-19,METRO CASH AND CARRY,2024-06-19,-1302930.17,-18953.54,DEBIT,Shopping
KZ57163314100,2024-06-20,BURGER KING KZ,2024-06-20,-1395466.01,-4769.53,DEBIT,Food & Dining
KZ57163314100,2024-06-21,ВОДОКАНАЛ PAYMENT,2024-06-21,-1388561.64,-3428.15,DEBIT,Utilities
KZ57163314100,2024-06-21,NETFLIX SUBSCRIPTION,2024-06-21,-1121177.15,-5239.5,DEBIT,Entertainment
KZ57163314100,2024-06-22,SPOTIFY PREMIUM,2024-06-22,-1159725.69,-1564.5,DEBIT,Entertainment
KZ57163314100,2024-06-23,YANDEX GO RIDE,2024-06-23,-1354531.28,-706.26,DEBIT,Transport
KZ57163314100,2024-06-24,KASPI SHOP PURCHASE,2024-06-24,-1194933.44,-18953.54,DEBIT,Shopping
KZ57163314100,2024-06-26,ВОДОКАНАЛ PAYMENT,2024-06-26,-1127025.18,-4593.83,DEBIT,Utilities
KZ57163314100,2024-06-27,KTZ RAILWAY TICKET,2024-06-27,-1436983.65,-5318.65,DEBIT,Transport
KZ57163314100,2024-06-29,AIR ASTANA TICKET,2024-06-29,-1491809.75,-18567.1,DEBIT,Transport
KZ57163314100,2024-06-30,METRO CASH AND CARRY,2024-06-30,-1706447.79,-18567.1,DEBIT,Shopping
